ОТЧЕТ ПО РЕЗУЛЬТАТАМ МОДЕЛИРОВАНИЯ СМО «КЛИЕНТ-СЕРВЕР»
Параметры системы:
- Количество каналов (n): 5
- Интенсивность обслуживания (μ): 2 заявок/сек
- Количество заявок в одной итерации: 50

Таблица результатов (Теория / Эксперимент):
Лямбда	P0_теор	P0_эксп	Pref_теор	Pref_эксп	Q_теор	Q_эксп	A_теор	A_эксп	K_теор	K_эксп
2	0,3681	0,3681	0,0031	0,0000	0,9969	1,0000	1,9939	2,0000	0,9969	1,0000
4	0,1376	0,1376	0,0367	0,0000	0,9633	1,0000	3,8532	4,0000	1,9266	2,0000
6	0,0543	0,0543	0,1101	0,0000	0,8899	1,0000	5,3397	6,0000	2,6698	3,0000
8	0,0233	0,0233	0,1991	0,2800	0,8009	0,7200	6,4075	5,7600	3,2037	2,8800
10	0,0109	0,0109	0,2849	0,3600	0,7151	0,6400	7,1513	6,4000	3,5757	3,2000
12	0,0056	0,0056	0,3604	0,4000	0,6396	0,6000	7,6752	7,2000	3,8376	3,6000
14	0,0030	0,0030	0,4247	0,5000	0,5753	0,5000	8,0539	7,0000	4,0270	3,5000
16	0,0018	0,0018	0,4790	0,6000	0,5210	0,4000	8,3359	6,4000	4,1679	3,2000
18	0,0011	0,0011	0,5249	0,6000	0,4751	0,4000	8,5517	7,2000	4,2758	3,6000
20	0,0007	0,0007	0,5640	0,6000	0,4360	0,4000	8,7210	8,0000	4,3605	4,0000
